trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",35,23,-43.14022233370758,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,15,17.281266328482594,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,8,-14.391799244854155,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,11,6.37899437933244,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,10,5.798221946173235,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,0,-14.190050742964882,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-20.348163829542248,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,0,-2.958059558802699,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,13,-16.536322186937312,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,1,-115.5778339794694,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 3}",1
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,8,5.476247702638623,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-37.890088882408634,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",35,2,-23.44868892388521,"{0: 29, 1: 2, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",30,9,-23.87473082984255,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-27.23947778405548,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,0,-2.394459148001668,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,2,-48.02852471964038,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,12,-8.180759286508504,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,3,-25.253884053946397,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 0}",1
